Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Tot _Cases/1_Mpop,Deaths/1_Mpop,Total_Tests,Tests/1_Mpop,Population,Continent,1_Caseevery_Xppl,1_Deathevery_Xppl,1_Testevery_Xppl,New_Cases/1_Mpop,New_Deaths/1_Mpop,Active_Cases/1_Mpop
World,494305558.0,532912.0,6184531.0,1574.0,430003108.0,560670.0,58117919.0,55354.0,63415.0,793.4,0.0,0.0,0.0,All,0.0,0.0,0.0,0.0,0.0,0.0
USA,81900012.0,0.0,1009390.0,0.0,65968467.0,0.0,14922155.0,1767.0,244908.0,3018.0,987362808.0,2952541.0,334411183.0,North America,4.0,331.0,0.0,0.0,0.0,44622.0
India,43030925.0,0.0,521518.0,0.0,42497567.0,0.0,11840.0,8944.0,30653.0,371.0,791546038.0,563848.0,1403828461.0,Asia,33.0,2692.0,2.0,0.0,0.0,8.0
Brazil,30040129.0,0.0,660586.0,0.0,28892353.0,0.0,487190.0,8318.0,139583.0,3069.0,63776166.0,296340.0,215212745.0,South America,7.0,326.0,3.0,0.0,0.0,2264.0
France,26228521.0,0.0,142784.0,0.0,23615663.0,0.0,2470074.0,1541.0,400269.0,2179.0,254106036.0,3877874.0,65527156.0,Europe,2.0,459.0,0.0,0.0,0.0,37695.0
Germany,21956282.0,0.0,130969.0,0.0,17675700.0,268000.0,4149613.0,2494.0,260595.0,1554.0,104701826.0,1242687.0,84254408.0,Europe,4.0,643.0,1.0,0.0,0.0,49251.0
UK,21410305.0,0.0,166148.0,0.0,19335978.0,0.0,1908179.0,351.0,312503.0,2425.0,507870986.0,7412850.0,68512244.0,Europe,3.0,412.0,0.0,0.0,0.0,27852.0
Russia,17940765.0,14661.0,370602.0,291.0,17070642.0,35306.0,499521.0,2300.0,122845.0,2538.0,273400000.0,1872034.0,146044351.0,Europe,8.0,394.0,1.0,100.0,2.0,3420.0
Italy,14966058.0,0.0,160103.0,0.0,13531567.0,0.0,1274388.0,471.0,248170.0,2655.0,204235935.0,3386677.0,60305701.0,Europe,4.0,377.0,0.0,0.0,0.0,21132.0
Turkey,14919591.0,0.0,98234.0,0.0,14598047.0,0.0,223310.0,975.0,173620.0,1143.0,154964245.0,1803323.0,85932601.0,Asia,6.0,875.0,1.0,0.0,0.0,2599.0
