,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"494,305,558","+532,912","6,184,531","+1,574","430,003,108","+560,670","58,117,919","55,354","63,415",793.4,,,,All,,,,,,
1,1,USA,"81,900,012",,"1,009,390",,"65,968,467",,"14,922,155","1,767","244,908","3,018","987,362,808","2,952,541","334,411,183",North America,4,331,0,,,"44,622"
2,2,India,"43,030,925",,"521,518",,"42,497,567",,"11,840","8,944","30,653",371,"791,546,038","563,848","1,403,828,461",Asia,33,"2,692",2,,,8
3,3,Brazil,"30,040,129",,"660,586",,"28,892,353",,"487,190","8,318","139,583","3,069","63,776,166","296,340","215,212,745",South America,7,326,3,,,"2,264"
4,4,France,"26,228,521",,"142,784",,"23,615,663",,"2,470,074","1,541","400,269","2,179","254,106,036","3,877,874","65,527,156",Europe,2,459,0,,,"37,695"
5,5,Germany,"21,956,282",,"130,969",,"17,675,700","+268,000","4,149,613","2,494","260,595","1,554","104,701,826","1,242,687","84,254,408",Europe,4,643,1,,,"49,251"
6,6,UK,"21,410,305",,"166,148",,"19,335,978",,"1,908,179",351,"312,503","2,425","507,870,986","7,412,850","68,512,244",Europe,3,412,0,,,"27,852"
7,7,Russia,"17,940,765","+14,661","370,602",+291,"17,070,642","+35,306","499,521","2,300","122,845","2,538","273,400,000","1,872,034","146,044,351",Europe,8,394,1,100,2,"3,420"
8,8,Italy,"14,966,058",,"160,103",,"13,531,567",,"1,274,388",471,"248,170","2,655","204,235,935","3,386,677","60,305,701",Europe,4,377,0,,,"21,132"
9,9,Turkey,"14,919,591",,"98,234",,"14,598,047",,"223,310",975,"173,620","1,143","154,964,245","1,803,323","85,932,601",Asia,6,875,1,,,"2,599"
10,10,S. Korea,"14,553,644","+286,243","18,033",+371,N/A,N/A,N/A,"1,128","283,439",351,"15,804,065","307,791","51,346,669",Asia,4,"2,847",3,"5,575",7,"264,206"
11,11,Spain,"11,578,653",,"102,747",,"10,997,681",,"478,225",420,"247,478","2,196","471,036,328","10,067,766","46,786,580",Europe,4,455,0,,,"10,221"
12,12,Vietnam,"9,922,040",,"42,681",,"8,147,290",,"1,732,069","2,055","100,348",432,"84,742,786","857,057","98,876,493",Asia,10,"2,317",1,,,"17,518"
13,13,Argentina,"9,045,326",,"128,106",,"8,872,658",,"44,562",468,"196,963","2,790","35,510,477","773,244","45,924,025",South America,5,358,1,,,970
14,14,Netherlands,"7,948,111","+13,054","22,058",+21,"6,749,606","+64,427","1,176,447",120,"462,060","1,282","21,107,399","1,227,071","17,201,452",Europe,2,780,1,759,1,"68,392"
15,15,Iran,"7,180,008","+4,228","140,451",+44,"6,900,097","+4,136","139,460","1,483","83,605","1,635","49,358,909","574,739","85,880,542",Asia,12,611,2,49,0.5,"1,624"
16,16,Japan,"6,778,235","+42,315","28,387",+60,"6,286,380","+40,553","463,468",508,"53,883",226,"44,088,712","350,476","125,796,563",Asia,19,"4,431",3,336,0.5,"3,684"
17,17,Colombia,"6,086,484",,"139,678",,"5,919,709",,"27,097",342,"117,420","2,695","34,019,306","656,297","51,835,193",South America,9,371,2,,,523
18,18,Indonesia,"6,026,324","+2,400","155,464",+43,"5,788,714","+5,415","82,146","2,771","21,631",558,"92,754,690","332,929","278,602,304",Asia,46,"1,792",3,9,0.2,295
19,19,Poland,"5,973,557","+1,571","115,472",+77,"5,333,652",+78,"524,433",268,"158,140","3,057","35,788,005","947,429","37,773,820",Europe,6,327,1,42,2,"13,884"
20,20,Mexico,"5,671,144","+4,223","323,318",+83,"4,970,248","+4,408","377,578","4,798","43,189","2,462","15,617,943","118,938","131,311,353",North America,23,406,8,32,0.6,"2,875"
21,21,Ukraine,"4,975,837",,"108,041",,N/A,N/A,N/A,177,"114,989","2,497","19,521,252","451,125","43,272,403",Europe,9,401,2,,,"18,713"
22,22,Australia,"4,847,725","+62,046","6,462",+27,"4,292,552",,"548,711",104,"186,312",248,"67,214,128","2,583,233","26,019,383",Australia/Oceania,5,"4,027",0,"2,385",1,"21,089"
